Auctioner,Location,Date,Year,Make,Model,Engine,HP,Transmisson,Ratio,Mileage,Repairs Cost,Transport Costs,Target Price,max bidding price,Sold For,Details,
Ritchie Bros,"Tulare, CA",9/11/2025,2024,Kenworth,T680,,,Automated,,"87,033",,"$3,800.00",,$0.00,,"2023 US EPA Label, Paccar PO18F112C Automated Transmission, 12350 lb Front Axle, 38000 lb Rears, 50350 lb GVWR, 52 in High Rise Sleeper Cab, 225 in Wheelbase, Air Suspension, Aluminum Wheels, 275/80R22.5, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Tulare, CA",9/11/2025,2023,Kenworth,T680,CumminsX15,,Automated,,"341,317",,"$3,800.00","$61,000.00","$64,050.00","$66,000.00","Cummins X15 Engine, Paccar Automated Transmission, 13200 lb Front Axle, 40000 lb Rears, 53200 lb GVWR, Engine Brake, 72 in High Rise Sleeper Cab, Bunk Beds, 241 in Wheelbase, Low Air Leaf Suspension, Aluminum Wheels, 275/80R22.5, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Tulare, CA",9/11/2025,2023,Kenworth,T680,CumminsX15,500,Automated,,"355,641",,"$3,800.00","$61,000.00","$64,050.00",,"Cummins X15 6 Cylinder Diesel 500 hp Engine, 2021 US EPA Label, Requires Diesel Exhaust Fluid, 7408.3 Engine hrs, Engine Brake, Automated Transmission, 13200 lb Front Axle, 40000 lb Rears, 3.36:1 Axle Ratio, 53200 lb GVWR, Air Ride Cab, 76 in High Rise Sleeper Cab, Bunk Beds, Aluminum Wheels, 295/75R22.5, Paccar Air Ride Suspension, 237 in Wheelbase, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Tulare, CA",9/11/2025,2023,Kenworth,T680,Cummins X15,500,Automated,,"400,285",,"$3,800.00","$60,000.00","$63,000.00",,"Cummins X15 Diesel Engine, 2022 US EPA Label, CARB Compliant, Requires Diesel Exhaust Fluid, Engine Brake, Automated Transmission, 13200 lb Front Axle, 40000 lb Rears, 53200 lb GVWR, Air Ride Cab, 76 in High Rise Sleeper Cab, Bunk Beds, Bunk Heater, Aluminum Wheels, 11R22.5, Air Ride Suspension, 242 in Wheelbase, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Tulare, CA",9/11/2025,2022,Kenworth,T680,CumminsX15,450,Automatic,,"394,225",,"$3,800.00","$45,000.00","$47,250.00",,"Cummins X15 450 hp Engine, 2021 US EPA Label, Automatic Transmission, 12350 lb Front Axle, 40000 lb Rears, 52350 lb GVWR, 75 in High Rise Sleeper Cab, Bunk Beds, Bunk Heater, 244 in Wheelbase, Air Suspension, Aluminum Wheels, 295/75R22.5, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Dunnigan, CA",9/11/2025,2022,Freightliner,Cascadia 126,DetroitDD15,455,Automated,,"404,988",,"$3,800.00","$42,000.00","$44,100.00","$60,000.00","Detroit DD15 455 hp Engine, 2021 US EPA Label, 10783 Engine hrs, Detroit DT12-1750-OH1 12-Speed Automated Transmission, 13220 lb Front Axle, 40000 lb Rears, 53220 lb GVWR, Engine Brake, 72 in High Rise Sleeper Cab, Bunk Beds, 229 in Wheelbase, Air Suspension, 295/75R22.5 Front Tires, 11R22.5 Rear Tires, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Tulare, CA",9/11/2025,2021,Freightliner,Cascadia 126,DetroitDD15,400,Automated,,"497,122",,"$3,800.00","$35,000.00","$36,750.00","$49,000.00","Detroit DD15 400 hp Engine, Detroit DT12-1750-DH1 12-Speed Automated Transmission, 12350 lb Front Axle, 40000 lb Rears, 52350 lb GVWR, Engine Brake, 72 in High Rise Sleeper Cab, Bunk Beds, Bunk Heater, 227 in Wheelbase, Air Suspension, Aluminum Wheels, 295/75R22.5, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Dunnigan, CA",9/11/2025,2024,Volvo,VNL760,VolvoD13N,500,Automated,,"204,940",,"$3,800.00","$75,000.00","$78,750.00","$108,000.00","Volvo D13N-500 6 Cylinder 12.8 L Diesel 500 hp Engine, 2023 US EPA Label, Requires Diesel Exhaust Fluid, 4687 Engine hrs, Engine Brake, Volvo ATO2612F 12-Speed Automated Transmission, 13200 lb Front Axle, 40000 lb Rears, Meritor MT-40-14X Drive Axles, 3.08:1 Axle Ratio, 50678 lb GVWR, Air Ride Cab, 70 in High Rise Sleeper Cab, Bunk Beds, Aluminum Wheels, 295/75R22.5, Air Ride Suspension, 230 in Wheelbase, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Dunnigan, CA",9/11/2025,2024,Volvo,VNL760,VolvoD13N,500,Automated,,"228,825",,"$3,800.00","$80,000.00","$84,000.00","$94,000.00","Volvo D13N-500 6 Cylinder 12.8 L Diesel 500 hp Engine, 2023 US EPA Label, Requires Diesel Exhaust Fluid, 6629 Engine hrs, Engine Brake, Volvo ATO2612F 12-Speed Automated Transmission, 13200 lb Front Axle, 40000 lb Rears, Meritor MT-40-14X Drive Axles, 3.08:1 Axle Ratio, 50678 lb GVWR, Air Ride Cab, 70 in High Rise Sleeper Cab, Bunk Beds, Aluminum Wheels, 275/80R22.5, Air Ride Suspension, 232 in Wheelbase, Air Sliding 5th Wheel, Dual Fuel Tanks",
Ritchie Bros,"Tulare, CA",9/11/2025,2023,Volvo,VNL760,VolvoD13N,455,Automated,,"426,332",,"$3,800.00","$65,000.00","$68,250.00",,"Volvo D13N 455 hp Engine, Volvo ATO2612F 12-Speed Automated Transmission, 13200 lb Front Axle, 40000 lb Rears, 53200 lb GVWR, Engine Brake, 77 in High Rise Sleeper Cab, Bunk Heater, 224 in Wheelbase, Air Suspension, Aluminum Wheels, 295/75R22.5, Air Sliding 5th Wheel, Dual Fuel Tanks",
